Escenario,CH₄,CH₄ fósil (diésel),CO₂ fósil (diésel),N₂O,N₂O (diésel),NH₃,NO₃⁻,NOx
A,74.3713097014547,0.069715,476.8725,2.4897893242667326,0.0044566499999999,44.55007006606425,44.251501666566774,3.981753220187405
B,184.99556221002345,0.069715,476.8725,2.8463417022458843,0.0044566499999999,69.91143819435695,121.2572835051862,4.592074113208644
