Tipo de factor,Sistema o compuesto evaluado,Factor,Valor,Unidad,Referencia metodológica
Factor del ledger de N total y TAN,A1,EF3 de A1: Precomposteo,0.005,kg N₂O-N/kg N,IPCC 2019 Refinement Volume 4 Chapter 10 Table 10.21
Factor del ledger de N total y TAN,A2,EF3 de A2: Lombricompostaje,0.005,kg N₂O-N/kg N,IPCC 2019 Refinement Volume 4 Chapter 10 Table 10.21
Factor del ledger de N total y TAN,A3;B1,EF3 del almacenamiento líquido sin costra natural,0.0,kg N₂O-N/kg N,IPCC 2019 Refinement Volume 4 Chapter 10 Table 10.21
Factor del ledger de N total y TAN,A1,MCF de A1: Precomposteo,2.5,percent,IPCC 2019 Refinement Volume 4 Chapter 10 Table 10.17
Factor del ledger de N total y TAN,A3;B1,MCF del almacenamiento líquido sin costra natural,38.0,percent,IPCC 2019 Refinement Volume 4 Chapter 10 Table 10.17
Factor del ledger de N total y TAN,A1,Fracción de drenaje de A1: Precomposteo,0.04,kg N drainage/kg N,IPCC 2019 Refinement Volume 4 Chapter 10 Table 10.22
Factor del ledger de N total y TAN,A2;A3;B1,Fracción de lixiviación del almacenamiento,0.0,kg N/kg N,Decision record and IPCC Table 10.22
Factor del ledger de N total y TAN,A1,Benchmark FracGasMS de A1,0.45,kg volatilised N/kg N,IPCC 2019 Refinement Volume 4 Chapter 10 Table 10.22
Factor del ledger de N total y TAN,A2,Benchmark FracGasMS de A2,0.45,kg volatilised N/kg N,IPCC 2019 Refinement Volume 4 Chapter 10 Table 10.22
Factor del ledger de N total y TAN,A3;B1,Benchmark FracGasMS del almacenamiento líquido,0.48,kg volatilised N/kg N,IPCC 2019 Refinement Volume 4 Chapter 10 Table 10.22
Factor del ledger de N total y TAN,all,EF4 de deposición atmosférica,0.014,kg N₂O-N/kg NH₃-N+NOx-N,IPCC 2019 Refinement Volume 4 Chapter 11 Table 11.3
Factor del ledger de N total y TAN,all,EF5 de lixiviación y escorrentía,0.011,kg N₂O-N/kg N leached/runoff,IPCC 2019 Refinement Volume 4 Chapter 11 Table 11.3
Factor del ledger de N total y TAN,A1 drainage;A4;B2,Fracción de lixiviación y escorrentía desde suelo,0.24,kg N leached/runoff/kg N input,IPCC 2019 Refinement Volume 4 Chapter 11 Table 11.3
Factor del ledger de N total y TAN,A4;B2,EF1 de N orgánico aplicado al suelo,0.006,kg N₂O-N/kg Estiércol N applied,IPCC 2019 Refinement Volume 4 Chapter 11 Table 11.1
Factor del ledger de N total y TAN,A2,Factor de NH₃ de A2: Lombricompostaje,12.8,g NH₃/Mg biowaste,Komakech et al. 2016 DOI 10.1016/j.jenvman.2016.06.028
Factor de caracterizacion,CH₄,Potencial de calentamiento global,21.0,kg CO₂-eq/kg sustancia,IMN (2021)
Factor de caracterizacion,N₂O,Potencial de calentamiento global,310.0,kg CO₂-eq/kg sustancia,IMN (2021)
Factor de caracterizacion,NH₃,Potencial de eutrofizacion,0.35,kg PO₄-eq/kg sustancia,"Ecobilan (1999, como se citó en Vallejo, 2004)"
Factor de caracterizacion,NO₃⁻,Potencial de eutrofizacion,0.095,kg PO₄-eq/kg sustancia,"Ecobilan (1999, como se citó en Vallejo, 2004)"
Factor de caracterizacion,CO₂,Potencial de calentamiento global,1.0,kg CO₂-eq/kg sustancia,IMN (2021)
Conversión estequiométrica,,Conversión estequiométrica de N₂O-N a N₂O,1.5714285714285714,kg N₂O/kg N₂O-N,Cálculo estequiométrico
Conversión estequiométrica,,Conversión estequiométrica de N a NH₃,1.2142857142857142,kg NH₃/kg NH₃-N,Cálculo estequiométrico
Conversión estequiométrica,,Conversión estequiométrica de N a NO₃⁻,4.428571428571429,kg NO₃⁻/kg N,Cálculo estequiométrico
