Categoría de impacto,Escenario A,Escenario B,Diferencia absoluta B − A,Diferencia porcentual B respecto a A,Escenario con mayor impacto
Calentamiento global,4466.594134270137,8721.386683007422,4254.792548737285,95.25809645636268,B
Eutrofización,31.02214094324156,27.11249770691752,-3.9096432363240368,-12.602751188182538,A
