Escenario,Calentamiento global,Eutrofización,Etapa del sistema
A,518.8557038555156,7.775130787114285,A1: Precomposteo
A,226.76495777803757,0.0332862595385599,A2: Lombricompostaje
A,1343.5935684386643,3.0837076262622776,A3: Almacenamiento de aguas verdes
A,244.4179641810184,8.904292508531208,A4: Aplicación de aguas verdes en campos de pastoreo
B,4033.5204455173243,9.257410909595611,B1: Almacenamiento de purines
B,733.7522885893924,26.731034391422007,B2: Aplicación de purines en campo de pastoreo
