chain,stage,n_total_in_kg,tan_in_kg,non_tan_n_in_kg,mineralised_n_kg,tan_available_kg,nh3_n_kg,no_n_kg,n2_n_kg,n2o_n_direct_ipcc_kg,water_n_loss_ipcc_kg,n_total_out_kg,tan_out_kg,non_tan_n_out_kg,experimental_n_comparable_kg,model_minus_experimental_kg,relative_difference_pct,frac_gas_modelled,frac_gas_ms_benchmark,frac_gas_difference,n2o_n_indirect_vol_kg,n2o_indirect_vol_kg,soil_leach_runoff_n_kg,n2o_n_indirect_leach_kg,n2o_indirect_leach_kg,no3_from_soil_leach_kg,mass_balance_residual_kg
A1→A2,A1: Precomposteo,90.78975416666667,54.4738525,36.31590166666667,0.0,54.4738525,17.4316328,0.544738525,16.34215575,0.45394877083333335,3.631590166666667,52.385688154166665,20.155325425,32.230362729166664,38.45452738224265,13.931160771924013,36.227621869972786,0.19799999999999998,0.45,-0.252,0.25166919855,0.39548016914999995,0.87158164,0.00958739804,0.015065911205714285,3.859861548571429,0.0
A1→A2,A2: Lombricompostaje,52.385688154166665,20.155325425,32.230362729166664,0.0,20.155325425,0.07832061067896472,0.20155325425,6.0465976275,0.2619284407708333,0.0,45.79728822096687,13.828853932571036,31.968434288395834,,,,0.0053425634899616,0.45,-0.4446574365100384,0.003918234109005506,0.006157225028437223,0.0,0.0,0.0,0.0,0.0
A3→A4,A3: Almacenamiento de aguas verdes,45.34864156268056,27.209184937608338,18.139456625072224,1.8139456625072226,29.02313060011556,7.25578265002889,0.002902313060011556,0.08706939180034669,0.0,0.0,38.00288720779132,21.677376245226313,16.325510962565005,24.002938006614276,13.999949201177042,58.325981583251185,0.160064,0.48,-0.319936,0.10162158948324462,0.15969106918795584,0.0,0.0,0.0,0.0,-7.105427357601002e-15
B1→B2,B1: Almacenamiento de purines,136.13839572934725,81.68303743760835,54.455358291738904,5.445535829173891,87.12857326678224,21.78214331669556,0.008712857326678224,0.26138571980034675,0.0,0.0,114.08615383552467,65.07633137295966,49.00982246256501,38.58690854078291,75.49924529474177,195.66025926888088,0.16006399999999998,0.48,-0.319936,0.30507198643631134,0.47939883582848924,0.0,0.0,0.0,0.0,0.0
