chain,stage,nh3_n_kg,nh3_kg,no_n_kg,n2_n_kg,n2_kg,n2o_n_direct_kg,n2o_direct_kg,n2o_n_indirect_vol_kg,n2o_indirect_vol_kg,n2o_n_indirect_leach_kg,n2o_indirect_leach_kg
A1→A2,A1: Precomposteo,17.4316328,21.166982685714284,0.544738525,16.34215575,16.34215575,0.45394877083333335,0.713348068452381,0.25166919855,0.39548016914999995,0.00958739804,0.015065911205714285
A1→A2,A2: Lombricompostaje,0.07832061067896472,0.09510359868160001,0.20155325425,6.0465976275,6.0465976275,0.2619284407708333,0.4116018354970238,0.003918234109005506,0.006157225028437223,0.0,0.0
A3→A4,A3: Almacenamiento de aguas verdes,7.25578265002889,8.810593217892222,0.002902313060011556,0.08706939180034669,0.08706939180034669,0.0,0.0,0.10162158948324462,0.15969106918795584,0.0,0.0
B1→B2,B1: Almacenamiento de purines,21.78214331669556,26.449745455987465,0.008712857326678224,0.26138571980034675,0.26138571980034675,0.0,0.0,0.30507198643631134,0.47939883582848924,0.0,0.0
