Escenario,Etapa,ch4_total_kg,n2o_total_kg,co2_total_kg,nh3_total_kg,no3_total_kg,impacto_calentamiento_global_kg_co2eq,impacto_eutrofizacion_kg_po4eq
A,1,1.405241657133098,68.45501027189323,0.0,355.46023787859303,1296.3843969689867,21250.5632590867,247.56760096956128
A,2,2.507384667511249,1.3008707557890596e-05,33.65174159028255,0.0,0.0,86.31085230736173,0.0
A,3,5.641113467566541,1.0269426696088584,0.0,27.94417699348,101.91405727033884,436.81561039764347,19.462297388400188
A,4,0.0,9.387270262178587,0.0,139.19402780773262,507.6488072987896,2910.053781275362,96.94454642609143
B,1,80.58733518133177,14.670609553167,0.0,399.2025281334175,1455.9151026042289,6240.223000289737,278.0328195940979
B,2,0.0,15.928974367030929,0.0,236.19412662766928,861.4138735832645,4937.982053779588,164.50226231009435
