chain,stage,n_total_in_kg,tan_in_kg,nh3_n_kg,nox_n_kg,n2_n_kg,n2o_n_direct_kg,n2o_n_indirect_vol_kg,n_water_loss_kg,n_leach_runoff_kg,n2o_n_indirect_leach_kg,no3_kg,n_total_out_kg,n_returned_emep_kg,soil_n_remaining_after_direct_losses_kg,tan_out_kg,mass_balance_residual_kg
A1→A2,A1: Precomposteo,90.78975416666667,54.4738525,17.4316328,0.544738525,16.34215575,0.45394877083333335,0.25166919855,3.631590166666667,0.87158164,0.00958739804,3.859861548571429,52.385688154166665,,,20.155325425,0.0
A1→A2,A2: Lombricompostaje,52.385688154166665,20.155325425,0.07832061067896472,0.20155325425,6.0465976275,0.2619284407708333,0.003918234109005506,0.0,0.0,0.0,0.0,45.79728822096687,,,13.828853932571036,0.0
A3→A4,A3: Almacenamiento de aguas verdes,45.34864156268056,27.209184937608338,7.25578265002889,0.002902313060011556,0.08706939180034669,0.0,0.10162158948324462,0.0,0.0,0.0,0.0,38.00288720779132,,,21.677376245226313,-7.105427357601002e-15
A3→A4,A4: Aplicación de aguas verdes en campos de pastoreo,38.00288720779132,21.677376245226313,11.922556934874473,0.4626438442687639,0.0,0.22801732324674792,0.17339281090800532,0.0,9.120692929869916,0.10032762222856907,40.391640117995344,,26.080330272916846,16.26897617553142,9.75481931035184,0.0
B1→B2,B1: Almacenamiento de purines,136.13839572934725,81.68303743760835,21.78214331669556,0.008712857326678224,0.26138571980034675,0.0,0.30507198643631134,0.0,0.0,0.0,0.0,114.08615383552467,,,65.07633137295966,0.0
B1→B2,B2: Aplicación de purines en campo de pastoreo,114.08615383552467,65.07633137295966,35.79198225512781,1.3888749162585614,0.0,0.684516923013148,0.5205320003994092,0.0,27.380676920525918,0.3011874461257851,121.25728350518621,,78.29417158039686,48.84010282059924,29.284349117831844,-1.4210854715202004e-14
