Escenario,Etapa,masa_total_kg_eq,CO2_medido,CH4_ec1,N2O_ec14,N2O_ec2,N2O_ec5,N2O_ec6,N2O_ec16,N2O_ec18,NH3_ec12,NH3_ec20,NO3_ec13,NO3_ec21
A,1,4767.45683,,1.4052416571330981,,55.688436259420975,11.694571614478406,1.0720023979938538,,,355.46023787859303,nan,1296.3843969689867,nan
A,2,1472.39567,33.65174159028255,2.507384667511249,,1.3008707557890597e-05,0.0,0.0,,,0.0,nan,0.0,nan
A,3,358.840837,,5.641113467566541,,0.0,1.0269426696088584,0.0,,,27.944176993479996,nan,101.91405727033883,nan
A,4,71789.81012,,nan,4.863870602165071,nan,nan,nan,2.3832965950608846,2.140103064952631,nan,139.19402780773262,nan,507.6488072987896
B,1,5126.297667,,80.58733518133177,,0.0,14.670609553166999,0.0,,,399.20252813341745,nan,1455.9151026042287,nan
B,2,76557.26695,,nan,8.253354594316543,nan,nan,nan,4.044143751215106,3.6314760214992785,nan,236.19412662766928,nan,861.4138735832645
