tipo_factor,sistema_o_compuesto,factor,valor,unidad,fuente_dato,fuente_bibliografica_pendiente,observaciones
Factor de caracterizacion,N2O,Potencial de calentamiento global,310.0,kg CO2-eq/kg sustancia,processed/acv_factores_equivalencia.csv,Si,Usado para calcular impacto_calentamiento_global_kg_co2eq
Factor de caracterizacion,NH3,Potencial de eutrofizacion,0.35,kg PO4-eq/kg sustancia,processed/acv_factores_equivalencia.csv,Si,Usado para calcular impacto_eutrofizacion_kg_po4eq
Factor de caracterizacion,NO3,Potencial de eutrofizacion,0.095,kg PO4-eq/kg sustancia,processed/acv_factores_equivalencia.csv,Si,Usado para calcular impacto_eutrofizacion_kg_po4eq
Factor de caracterizacion,CO2,Potencial de calentamiento global,1.0,kg CO2-eq/kg sustancia,processed/acv_factores_equivalencia.csv,Si,Usado para calcular impacto_calentamiento_global_kg_co2eq
Factor hardcodeado auditado,,B0_T,0.24,m3 CH4/kg SV,scripts/ACV_EscenarioA_etapa1.py; scripts/ACV_EscenarioA_etapa2.py; scripts/ACV_EscenarioA_etapa3.py; scripts/ACV_EscenarioB_etapa1.py,Referencia IPCC o fuente del valor B0 para bovinos/lecheria,Debe moverse a tabla de parametros o citarse en metodologia.
Factor hardcodeado auditado,,AWMS,1.0,adimensional,scripts/ACV_EscenarioA_etapa1.py; scripts/ACV_EscenarioA_etapa2.py; scripts/ACV_EscenarioA_etapa3.py; scripts/ACV_EscenarioB_etapa1.py,Justificacion metodologica de asignacion completa al sistema,Representa fraccion gestionada por el sistema.
Factor hardcodeado auditado,,N,1.0,unidad o cabeza equivalente,scripts/ACV_EscenarioA_etapa1.py; scripts/ACV_EscenarioA_etapa2.py; scripts/ACV_EscenarioA_etapa3.py; scripts/ACV_EscenarioA_etapa4.py; scripts/ACV_EscenarioB_etapa1.py; scripts/ACV_EscenarioB_etapa2.py,Definicion de unidad funcional o cabeza equivalente,Se combina con escalamiento posterior por masa_total_kg_eq.
Factor hardcodeado auditado,,N_cdg,0.0,kg N/ano,scripts/ACV_EscenarioA_etapa1.py; scripts/ACV_EscenarioA_etapa2.py; scripts/ACV_EscenarioA_etapa3.py; scripts/ACV_EscenarioA_etapa4.py; scripts/ACV_EscenarioB_etapa1.py; scripts/ACV_EscenarioB_etapa2.py,Justificacion de ausencia de codigestion,Mantener si no hay codigestion.
Factor hardcodeado auditado,,EF1,0.006,kg N2O-N/kg N,scripts/ACV_EscenarioA_etapa4.py; scripts/ACV_EscenarioB_etapa2.py,Referencia IPCC para emisiones directas de N2O en suelos gestionados,Debe documentarse por fuente/version IPCC.
Factor hardcodeado auditado,,EF4,0.014,kg N2O-N/(kg NH3-N + NOx-N volatilizado),scripts/ACV_EscenarioA_etapa1.py; scripts/ACV_EscenarioA_etapa2.py; scripts/ACV_EscenarioA_etapa3.py; scripts/ACV_EscenarioA_etapa4.py; scripts/ACV_EscenarioB_etapa1.py; scripts/ACV_EscenarioB_etapa2.py,Referencia IPCC para deposicion atmosferica,Debe documentarse por fuente/version IPCC.
