escenario,etapa,nombre_etapa,tipo_muestra,modelo_calculo,sistema_manejo_ipcc,parametro,valor,unidad,fuente_dato,observaciones,flujo,fuente,formula_origen
A,3,Etapa 3: Almacenamiento de aguas verdes,ESTIERCOL FRESCO,ipcc,liquid_slurry_without_natural_crust,Materia seca,13.59995828105796,% masa húmeda,muestreos_integracion_interjornada_provisional.csv,Fracción de materia seca usada en etapas sólidas,,,
A,3,Etapa 3: Almacenamiento de aguas verdes,ESTIERCOL FRESCO,ipcc,liquid_slurry_without_natural_crust,Masa equivalente total,8753.625181,kg eq/año,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Base de escalamiento por etapa,,,
A,3,Etapa 3: Almacenamiento de aguas verdes,ESTIERCOL FRESCO,ipcc,liquid_slurry_without_natural_crust,MCF,38.0,%,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor IPCC por sistema de manejo,,,
A,3,Etapa 3: Almacenamiento de aguas verdes,ESTIERCOL FRESCO,ipcc,liquid_slurry_without_natural_crust,EF3,0.0,kg N2O-N/kg N,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor IPCC por sistema de manejo,,,
A,3,Etapa 3: Almacenamiento de aguas verdes,ESTIERCOL FRESCO,ipcc,liquid_slurry_without_natural_crust,Fraccion de N volatilizado en MMS,0.48,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor IPCC por sistema de manejo,,,
A,3,Etapa 3: Almacenamiento de aguas verdes,ESTIERCOL FRESCO,ipcc,liquid_slurry_without_natural_crust,Fraccion de N lixiviado en MMS,0.0,adimensional,processed/ipcc_sistemas_manejo_estiercol_factores.csv; processed/ipcc_factores_manejo_overrides_etapa.csv; processed/masa_total_escenario_etapa.csv,Factor efectivo; A2 aplica un valor específico del sistema estudiado,,,
A,4,Etapa 4: Aplicación de aguas verdes en campos de pastoreo,LIQ: AGUA VERDE,ipcc,land_application_managed_liquid_slurry,Nitrogeno total reportado,0.0092558888888888,% N total,muestreos_integracion_interjornada_provisional.csv,Valor de caracterizacion; no usar directamente en ecuaciones de N,,,
A,4,Etapa 4: Aplicación de aguas verdes en campos de pastoreo,LIQ: AGUA VERDE,ipcc,land_application_managed_liquid_slurry,Nitrogeno total como fraccion masica,9.2558888888888e-05,kg N/kg masa húmeda,muestreos_integracion_interjornada_provisional.csv,A2 incorpora la materia seca gravimétrica; las demás etapas conservan la base analítica vigente,,,
A,4,Etapa 4: Aplicación de aguas verdes en campos de pastoreo,LIQ: AGUA VERDE,ipcc,land_application_managed_liquid_slurry,Solidos volatiles,,% base seca,muestreos_integracion_interjornada_provisional.csv,Parametro para CH4 en etapas solidas,,,
A,4,Etapa 4: Aplicación de aguas verdes en campos de pastoreo,LIQ: AGUA VERDE,ipcc,land_application_managed_liquid_slurry,Materia seca,,% masa húmeda,muestreos_integracion_interjornada_provisional.csv,Fracción de materia seca usada en etapas sólidas,,,
